YEAR,MONTH,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
4039,9,0.0,0.0,2.0
48444,152,36.21,36.0,14.92
2018,1,0.0,0.0,3.0
18156,75,3.94,3.0,3.0
8069,25,0.0,0.0,7.0
38352,108,5.260000000000001,5.0,0.0
2019,7,0.0,0.0,2.0
48444,152,29.12,26.0,18.0
34307,112,8.02,7.92,19.0
34308,108,17.32,4.66,1.0
14122,49,2.0300000000000002,0.0,0.0
30273,105,2.88,-0.04,0.0
26237,74,2.08,0.0,0.0
22195,80,8.92,6.0,4.0
22193,70,9.97,5.0,0.0
12102,53,1.7000000000000002,0.0,0.0
10086,38,1.02,0.0,0.0
48444,152,100.63,91.5,135.0
22207,68,0.0,0.0,28.0
46425,149,225.82999999999998,243.92000000000002,104.84
48444,152,164.93,152.84,99.0
48444,152,149.6,142.99,0.0
24217,84,8.66,7.0,0.0
48444,152,83.82000000000001,82.0,124.0
44404,136,29.73,24.83,0.0
36326,118,24.75,15.0,0.0
48444,152,27.27,23.67,20.0
32296,103,5.930000000000001,7.0,0.0
46424,145,17.21,14.0,0.0
36326,113,12.4,3.0,0.0
4034,16,0.0,0.0,5.0
2017,6,0.0,0.0,2.0
22195,83,15.92,3.0,0.0
4036,3,0.08,1.0,1.0
46424,143,38.980000000000004,30.0,89.0
8072,29,0.0,0.0,10.0
2017,6,0.0,0.0,3.0
10085,41,0.0,0.0,11.0
16143,66,0.73,0.0,6.0
48444,152,244.63,253.82999999999998,469.65999999999997
32288,94,9.370000000000001,8.0,3.0
30281,114,30.3,36.0,0.0
4034,13,0.0,0.0,2.0
10085,47,0.0,0.0,9.0
8079,28,0.0,0.0,4.92
32288,104,0.0,0.0,59.0
48444,152,611.18,602.0,83.0
48444,152,49.33,28.83,0.0
20188,62,0.0,0.0,20.0
40365,133,14.5,14.0,37.0
14120,55,4.0,4.0,20.0
8073,29,0.0,0.0,6.0
14121,49,6.0,7.0,16.0
8072,27,0.0,0.0,6.0
16138,57,6.0,7.0,15.0
20177,64,0.0,0.0,24.0
12104,45,3.6399999999999997,4.0,6.0
2017,9,0.0,0.0,1.0
6055,24,0.0,0.0,3.0
2017,11,0.0,0.0,2.0
2017,6,0.0,0.0,1.0
4036,3,0.0,0.0,3.0
4038,6,0.0,0.0,2.0
2017,8,0.0,0.0,1.0
2019,3,0.0,-0.17,0.0
38349,108,21.73,30.0,0.0
48444,152,354.0,338.0,6777.46
48444,152,35.0,25.0,1172.75
48444,152,0.0,0.0,333.0
14120,54,0.0,0.0,34.0
48444,152,13.0,18.0,379.75
2017,6,0.08,0.0,0.0
10091,46,0.0,0.0,28.0
48444,152,16.25,16.0,571.75
18155,66,0.0,0.0,46.0
10089,35,0.0,0.0,7.0
16147,44,0.0,0.0,10.0
32298,97,0.0,0.0,42.0
6052,19,0.0,0.0,3.0
4034,14,0.0,0.0,2.0
6053,25,0.0,0.0,4.0
4034,17,0.0,0.0,2.0
14123,49,0.0,0.0,11.0
26246,79,0.0,0.0,19.0
46426,151,0.0,0.0,109.0
20184,65,0.0,0.0,13.0
2019,11,0.0,0.0,3.0
2017,12,0.0,0.0,1.0
2017,8,0.0,0.0,2.0
46425,145,20.02,10.0,0.0
14123,42,7.97,0.0,0.0
6052,20,0.51,0.0,0.0
16139,58,1.29,0.0,2.0
4036,10,0.0,0.0,3.0
48444,152,730.48,752.66,72.83
2017,10,0.0,0.0,2.0
4035,13,0.0,0.0,1.0
24219,91,1.63,2.0,13.0
44405,141,21.490000000000002,21.0,95.0
4036,3,0.0,0.0,35.0
24232,73,9.24,8.0,187.0
2017,11,0.0,0.0,2.0
32297,105,4.1000000000000005,0.0,0.0
48444,152,23.24,23.96,3.0
46425,151,184.67,195.0,9.0
6057,17,0.0,0.0,25.0
2018,1,0.0,0.0,3.0
2017,8,0.0,0.0,1.0
48444,152,91.61,89.0,38.0
6054,14,0.0,0.0,45.0
8069,27,0.0,2.0,13.0
8069,25,0.0,0.0,9.0
48444,152,664.58,617.92,88.92
18155,66,20.919999999999998,-0.8300000000000001,0.0
18155,66,25.06,-0.71,0.0
16137,64,25.63,0.92,0.0
14119,63,27.34,0.0,0.0
18155,66,29.5,0.0,0.0
26240,83,0.0,0.0,21.0
4034,16,0.33,0.0,0.0
48444,152,698.54,652.16,0.0
2017,6,0.0,0.0,1.0
2017,6,0.0,0.0,2.0
8070,39,0.0,0.0,6.0
10092,32,0.0,0.0,5.0
48444,152,137.82,150.84,3.0
6051,23,0.0,0.0,7.0
4034,13,0.0,0.0,6.0
8071,32,0.0,0.0,5.0
10087,46,0.0,0.0,6.0
8070,30,0.0,0.0,5.0
4034,15,0.0,0.0,2.0
4034,22,0.0,0.0,2.0
16137,65,0.0,0.0,49.75
48444,152,10.04,11.0,508.21
48444,152,0.0,0.0,580.46
48444,152,0.0,0.0,224.25
2018,1,0.0,0.0,1.0
48444,152,7.75,8.0,147.75
4034,15,0.0,0.0,4.0
2017,6,0.0,0.0,2.0
2017,11,0.0,0.0,1.0
46425,151,6.77,7.0,0.0
12113,33,0.0,0.0,13.0
4037,2,0.0,0.0,2.0
2019,1,0.17,0.0,0.0
4034,18,0.0,0.0,2.0
10085,46,0.0,0.0,6.0
14123,39,0.0,0.0,281.75
48444,152,100.63,108.0,12.0
30271,96,0.0,0.0,41.0
48444,152,49.62,50.84,0.0
46427,145,24.12,20.0,0.0
2017,7,0.0,0.0,1.0
48444,152,1639.56,1663.52,207.0
20180,73,0.0,0.0,13.0
16138,57,0.0,0.0,39.75
2017,6,0.0,0.0,3.0
18161,53,0.0,0.0,13.0
22197,60,0.0,0.0,13.0
2017,10,0.0,0.0,1.0
48444,152,2798.37,2880.79,575.92
18163,67,0.0,0.0,10.0
2019,2,0.0,0.0,1.0
2018,1,0.0,0.0,1.0
22202,88,32.879999999999995,27.0,238.75
6056,19,0.0,0.0,16.0
46424,143,121.5,114.83,55.0
6053,19,0.0,0.0,7.0
4034,13,0.0,0.0,16.0
2017,6,0.0,0.0,3.0
18155,66,0.0,0.0,115.0
6051,21,0.0,0.0,35.0
2017,6,0.0,0.0,7.0
2018,2,0.0,0.0,2.0
4034,14,0.0,0.0,5.0
2017,10,0.0,0.0,1.0
2018,1,0.0,0.0,1.0
8074,21,0.0,0.0,4.0
4034,13,0.0,0.0,2.0
48444,152,58.2,51.92,0.0
2017,6,0.0,0.0,2.0
48444,152,12.92,4.0,56.0
2018,1,0.0,0.0,1.0
4034,14,0.0,0.0,10.0
2017,6,0.0,0.0,20.0
24218,69,1.13,0.0,7.0
34315,99,2.72,0.0,0.0
4034,13,1.25,2.0,60.0
2017,6,0.0,0.0,1.0
4034,17,0.0,0.0,3.0
2017,9,0.0,0.0,1.0
2017,12,0.0,0.0,1.0
48444,152,438.5,389.0,0.0
2020,9,0.0,0.0,1.0
6055,23,0.0,0.0,4.0
48444,152,1096.36,1071.84,656.92
14125,55,0.0,0.0,8.0
48444,152,618.74,583.5,273.83
6060,19,0.0,0.0,18.0
16137,65,4.98,3.92,0.0
6051,23,0.0,0.0,8.0
26233,93,1.95,1.0,14.0
2017,6,0.0,0.0,1.0
48444,152,4.6,3.0,201.0
8068,31,2.25,1.0,4.0
12103,48,0.48000000000000004,0.0,4.0
48444,152,928.3,968.33,4.0
2017,6,0.0,0.0,2.0
8068,38,0.0,0.0,8.0
4035,9,0.0,0.0,2.0
28262,96,1.63,0.6699999999999999,10.0
6057,9,0.0,0.0,3.0
2017,7,0.0,0.0,1.0
4034,17,0.0,0.0,7.5
8069,27,0.0,0.0,5.0
4034,17,0.0,0.0,2.0
10085,47,0.0,0.0,13.0
2017,9,0.0,0.0,1.0
10085,40,0.0,0.0,10.0
48444,152,754.89,780.1800000000001,339.0
4038,7,0.0,0.0,3.0
2019,1,0.0,0.0,1.0
46427,146,0.0,0.0,198.0
4035,10,0.0,0.0,2.0
48444,152,47.54,42.0,428.0
42384,133,76.64,67.5,31.0
2017,8,0.0,0.0,1.0
44410,135,2.99,3.0,140.0
2017,6,0.08,0.0,0.0
10085,41,0.0,0.0,7.0
12107,39,1.08,1.0,0.0
6057,7,0.08,0.0,2.0
4038,8,0.0,0.0,2.0
48444,152,29.54,31.33,373.0
4036,14,0.0,0.0,5.0
4036,17,0.0,0.0,3.0
30289,86,10.5,2.0,0.0
4034,16,0.0,0.0,3.0
